service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
87621,0,1,1,1,1,0,0,20250501,20250829
86832,0,1,1,1,0,0,0,20250501,20250829
80084,1,1,1,1,1,0,0,20250512,20250829
78308,0,1,1,1,1,0,0,20250512,20250829
77519,0,1,1,1,0,0,0,20250512,20250829
64769,0,1,1,1,0,0,0,20250501,20250828
58885,0,1,1,1,0,0,0,20250512,20250828
57053,0,0,0,0,0,0,0,20250514,20250829
56829,1,1,1,1,0,0,0,20250609,20250829
49148,0,0,1,1,0,0,0,20250619,20250829
37684,0,1,1,0,1,0,0,20250501,20250624
30003,0,1,1,1,1,0,0,20250501,20250606
28371,0,1,1,0,1,0,0,20250512,20250624
28104,0,1,0,0,0,0,0,20250501,20250623
27761,0,1,0,1,1,0,0,20250501,20250617
23519,0,0,0,0,0,1,0,20250503,20250823
22063,0,0,0,0,0,0,0,20250502,20250829
20769,0,0,0,0,0,1,0,20250510,20250823
20690,0,1,1,1,1,0,0,20250512,20250606
20466,0,1,0,0,0,0,0,20250512,20250623
20123,0,1,0,1,1,0,0,20250512,20250617
18634,0,0,0,0,0,0,0,20250516,20250829
17361,0,0,0,0,0,0,1,20250504,20250824
17209,0,0,0,0,0,1,0,20250524,20250823
17029,0,0,0,0,0,0,1,20250511,20250824
16572,0,0,0,0,0,0,1,20250504,20250824
16240,0,0,0,0,0,0,1,20250511,20250824
14796,0,0,0,0,0,0,1,20250504,20250824
14464,0,0,0,0,0,0,1,20250511,20250824
11226,0,0,0,0,0,0,1,20250525,20250824
9313,1,1,1,1,1,0,0,20250501,20250509
7638,1,1,0,1,1,0,0,20250501,20250509
7574,0,0,1,0,0,0,0,20250507,20250618
6925,0,0,1,0,0,0,0,20250507,20250611
5899,0,0,1,0,0,0,0,20250514,20250618
5884,1,1,1,1,0,0,0,20250501,20250508
5250,0,0,1,0,0,0,0,20250514,20250611
3429,0,0,0,0,1,0,0,20250502,20250509
2750,0,0,0,0,0,1,0,20250503,20250510
2655,0,0,0,0,0,0,0,20250523,20250624
1776,1,0,0,0,0,0,0,20250526,20250526
1675,0,0,1,0,0,0,0,20250507,20250507
789,0,0,0,0,1,0,0,20250704,20250704
332,0,0,0,0,0,0,1,20250504,20250504
