route_id,service_id,trip_id,trip_headsign,tts_trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100133,86832,347468088,"Bellevue Transit Center","bellevue transit center","",0,7633168,11240002,0,101,1,1
102548,23519,347619778,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633564,30672005,0,101,1,1
102548,23519,347619868,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633565,30672005,0,101,1,1
102548,23519,347619998,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633576,30672005,0,101,1,1
102548,23519,347620378,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633578,30672005,0,101,1,1
102548,23519,347620408,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633577,30672005,0,101,1,1
102548,23519,347620918,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633575,30672005,0,101,1,1
102548,23519,347621038,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633566,30672005,0,101,1,1
100236,17361,347630538,"Downtown Seattle","Downtown Seattle","",1,7633262,30545007,0,501,1,1
100236,17361,347630788,"Downtown Seattle","Downtown Seattle","",1,7633260,30545007,0,501,1,1
100236,17361,347630918,"Downtown Seattle","Downtown Seattle","",1,7633259,30545007,0,501,1,1
100236,17361,347630998,"Redmond","redmond","",0,7633262,41545006,0,501,1,1
100236,17361,347631378,"Redmond","redmond","",0,7633260,41545006,0,501,1,1
100236,86832,350247568,"Downtown Seattle","Downtown Seattle","",1,7633338,30545007,0,501,1,1
100481,14796,350897978,"Seacrest Marina","Seacrest Marina","",1,7632595,20775004,0,300,1,1
100272,14796,350898498,"Alaska Junction","alaska junction","",1,7632593,20773002,0,300,1,1
100272,14796,350898528,"Alaska Junction","alaska junction","",1,7632594,20773002,0,300,1,1
100272,14796,350898548,"Alaska Junction","alaska junction","",1,7632594,20773002,0,300,1,1
100272,14796,350898648,"Alaska Junction","alaska junction","",1,7632596,20773002,0,300,1,1
100336,14796,350898798,"West Seattle Water Taxi","West Seattle Water Taxi","",0,7632597,31973002,0,700,1,1
100336,14796,350898858,"West Seattle Water Taxi","West Seattle Water Taxi","",0,7632597,31973002,0,700,1,1
100236,23519,353312488,"Downtown Seattle","Downtown Seattle","",1,7633536,30545007,0,501,1,1
100236,23519,353312958,"Redmond","redmond","",0,7633541,41545006,0,501,1,1
100236,23519,353313028,"Downtown Seattle","Downtown Seattle","",1,7633538,30545007,0,501,1,1
100236,23519,353313348,"Redmond","redmond","",0,7633541,41545006,0,501,1,1
100236,23519,353313648,"Redmond","redmond","",0,7633541,41545006,0,501,1,1
100136,17361,407746128,"Factoria Crossroads","factoria crossroads","",1,7633129,20245008,0,101,1,1
100136,17361,407746208,"Factoria Crossroads","factoria crossroads","",1,7633131,20245008,0,101,1,1
102554,17361,407748058,"Bellevue Transit Center Factoria","bellevue transit center factoria","",0,7633139,11241004,0,101,1,1
100133,17361,407749088,"Bellevue Transit Center","bellevue transit center","",0,7633119,11240002,0,101,1,1
102593,23519,472979888,"Fairwood","fairwood","",0,7632587,41906014,0,900,1,1
102593,23519,472979968,"Southcenter","southcenter","",1,7632587,30906010,0,900,1,1
102647,23519,472984878,"Angle Lake Station","angle lake station","",1,7632566,10635002,0,101,1,1
100337,86832,472986718,"Vashon Island Water Taxi","Vashon Island Water Taxi","",0,7632539,21975002,0,701,1,1
100337,86832,472986758,"Downtown Seattle Water Taxi","Downtown Seattle Water Taxi","",1,7632539,10975001,0,701,1,1
100336,86832,472988908,"West Seattle Water Taxi","West Seattle Water Taxi","",0,7632533,31973002,0,700,1,1
100481,64769,472989198,"Seacrest Marina","Seacrest Marina","",1,7632535,20775004,0,300,1,1
100336,86832,472989338,"Downtown Seattle Water Taxi","Downtown Seattle Water Taxi","",1,7632533,40973001,0,700,1,1
100272,64769,472989428,"Alaska Junction","alaska junction","",1,7632535,20773002,0,300,1,1
102647,86832,472990778,"Marina District","marina district","",0,7632501,21635001,0,101,1,1
102647,86832,472990788,"Angle Lake Station","angle lake station","",1,7632501,10635002,0,101,1,1
102652,86832,472991888,"N Mercer Island","north mercer island","",1,7632518,10204005,0,900,1,1
102652,86832,472991938,"S Mercer Island","sorth mercer island","",0,7632520,21204006,0,900,1,1
100132,23519,473803558,"Downtown Seattle","Downtown Seattle","",1,7631686,20024005,0,101,1,1
100132,23519,473803608,"Downtown Seattle","Downtown Seattle","",1,7631685,20024005,0,101,1,1
100132,23519,473804258,"Downtown Seattle","Downtown Seattle","",1,7631689,20024004,0,101,1,1
100132,23519,473804278,"Downtown Seattle","Downtown Seattle","",1,7631686,20024004,0,101,1,1
100161,23519,473805218,"Downtown Seattle Yesler","downtown seattle yesler","",1,7631712,10027005,0,101,1,1
102548,23519,347620558,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633564,30672005,0,101,1,1
102548,23519,347620738,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633576,30672005,0,101,1,1
102548,23519,347620838,"Bellevue Transit Center Crossroads","bellevue transit center crossroads","",1,7633575,30672005,0,101,1,1
100236,17361,347630928,"Redmond","redmond","",0,7633263,41545006,0,501,1,1
100236,17361,347631388,"Downtown Seattle","Downtown Seattle","",1,7633262,30545007,0,501,1,1
100236,17361,347631768,"Downtown Seattle","Downtown Seattle","",1,7633260,30545007,0,501,1,1
100236,86832,350247088,"Downtown Seattle","Downtown Seattle","",1,7633331,30545007,0,501,1,1
100236,86832,350247188,"Downtown Seattle","Downtown Seattle","",1,7633311,30545007,0,501,1,1
100272,14796,350898518,"Alaska Junction","alaska junction","",1,7632593,20773002,0,300,1,1
100272,14796,350898608,"Alaska Junction","alaska junction","",1,7632596,20773002,0,300,1,1
100272,14796,350898658,"Alaska Junction","alaska junction","",1,7632595,20773002,0,300,1,1
100336,14796,350898848,"West Seattle Water Taxi","West Seattle Water Taxi","",0,7632597,31973002,0,700,1,1
100236,23519,353312848,"Downtown Seattle","Downtown Seattle","",1,7633540,30545007,0,501,1,1
100236,23519,353312858,"Downtown Seattle","Downtown Seattle","",1,7633541,30545007,0,501,1,1
100236,23519,353313338,"Downtown Seattle","Downtown Seattle","",1,7633538,30545007,0,501,1,1
100236,23519,353313408,"Redmond","redmond","",0,7633536,41545006,0,501,1,1
100136,17361,407746038,"Factoria Crossroads","factoria crossroads","",1,7633130,20245008,0,101,1,1
100136,17361,407746088,"Factoria Crossroads","factoria crossroads","",1,7633128,20245008,0,101,1,1
100136,17361,407746138,"Factoria Crossroads","factoria crossroads","",1,7633128,20245008,0,101,1,1
100136,17361,407746188,"Factoria Crossroads","factoria crossroads","",1,7633128,20245008,0,101,1,1
102554,17361,407747978,"Bellevue Transit Center Factoria","bellevue transit center factoria","",0,7633138,11241004,0,101,1,1
100133,17361,407748558,"Bellevue Transit Center","bellevue transit center","",0,7633120,11240002,0,101,1,1
100133,17361,407748608,"Bellevue Transit Center","bellevue transit center","",0,7633118,11240002,0,101,1,1
