stop_id,holiday_adjusted,other,weekday_only,stop_name
100,254,166,0,1st Ave & Spring St
101,254,166,0,Spring St & 3rd Ave
102,362,326,0,Spring St & 4th Ave
103,254,166,0,Spring St & 8th Ave
104,254,166,0,Madison St & Terry Ave
105,254,166,0,Madison St & Boylston Ave
106,254,166,0,E Madison St & 12th Ave
107,357,217,0,E Madison St & 17th Ave
108,254,166,0,E Madison St & 22nd Ave E
109,503,285,0,E Madison St & 24th Ave E
111,504,285,0,E Madison St & Martin L King Jr Way E
120,502,349,72,E Madison St & Martin L King Jr Way E
121,254,166,0,E Madison St & 23rd Ave E
122,254,166,0,E Madison St & 22nd Ave E
123,357,217,0,E Madison St & 17th Ave
124,254,166,0,E Madison St & 12th Ave
125,254,166,0,Madison St & Boylston Ave
126,254,166,0,Madison St & Terry Ave
127,254,166,0,Madison St & 8th Ave
128,254,166,0,Madison St & 5th Ave
129,254,166,0,Madison St & 3rd Ave
280,99,27,0,2nd Ave & Stewart St
300,242,94,0,2nd Ave & Pike St
320,234,85,0,2nd Ave & Seneca St
340,242,94,0,2nd Ave & Marion St
360,234,85,0,2nd Ave & Cherry St
361,238,94,0,2nd Ave & James St
375,234,85,0,2nd Ave Ext S & Yesler Way
390,238,94,0,2nd Ave Ext S & S Jackson St
400,1213,510,0,3rd Ave & Bell St
420,1882,803,0,3rd Ave & Virginia St
430,1322,577,0,3rd Ave & Pine St
431,742,306,0,3rd Ave & Pike St
433,570,244,0,3rd Ave & Pike St
450,1387,608,0,3rd Ave & Union St
468,1312,550,0,3rd Ave & Seneca St
480,1279,540,0,3rd Ave & Marion St
481,453,188,0,3rd Ave & Columbia St
490,859,362,0,3rd Ave & Cherry St
500,1062,459,0,3rd Ave & James St
510,150,65,0,S Washington St & 3rd Ave S
515,1298,549,0,3rd Ave S & S Main St
531,732,322,0,3rd Ave & James St
538,1406,595,0,3rd Ave & Columbia St
539,261,106,0,3rd Ave & Marion St
548,940,405,0,3rd Ave & Madison St
558,1667,701,0,3rd Ave & Seneca St
570,940,405,0,3rd Ave & Union St
575,1777,767,0,3rd Ave & Pike St
590,932,403,0,3rd Ave & Pine St
600,1956,831,0,3rd Ave & Virginia St
605,1199,517,0,3rd Ave & Bell St
619,541,230,0,4th Ave S & S Jackson St
620,559,206,0,4th Ave S & S Jackson St
625,34,9,0,S Washington St & 4th Ave S
626,200,96,0,S Washington St & 5th Ave S
628,233,83,0,4th Ave S & S Washington St
640,326,123,0,4th Ave & James St
648,233,83,0,4th Ave & Cherry St
660,326,123,0,4th Ave & Madison St
670,233,83,0,4th Ave & Seneca St
691,343,148,0,4th Ave & Union St
700,427,149,0,4th Ave & Pike St
720,77,26,0,4th Ave & Stewart St
730,74,26,0,4th Ave & Lenora St
760,120,31,0,5th Ave & Pine St
790,120,31,0,5th Ave & Seneca St
810,128,31,0,5th Ave & Marion St
820,128,31,0,5th Ave & Jefferson St
844,291,101,0,5th Ave S & S Weller St
880,374,174,0,Virginia St & 6th Ave
900,188,79,0,Virginia St & 9th Ave
905,344,125,0,Stewart St & Yale Ave N
940,518,204,0,Stewart St & 9th Ave
950,518,204,0,Stewart St & 7th Ave
970,224,94,0,Stewart St & 4th Ave
992,224,91,0,Howell St & 9th Ave
1040,240,91,0,Olive Way & 6th Ave
1050,135,32,0,Olive Way & 8th Ave
1070,119,32,0,Olive Way & Terry Ave
1085,814,394,0,Pine St & 9th Ave
1110,497,241,0,Pine St & 5th Ave
1120,440,210,0,Pine St & 4th Ave
1180,497,241,0,Pike St & 4th Ave
1190,629,298,0,Pike St & 6th Ave
1195,497,241,0,Pike St & 7th Ave
1215,135,58,0,Union St & 5th Ave
1230,135,58,0,Union St & 4th Ave
1250,110,66,0,Seneca St & 4th Ave
1260,118,66,0,Seneca St & 6th Ave
1340,47,25,0,Yesler Way & Prefontaine Pl S
1350,47,25,0,Yesler Way & 6th Ave S
1360,47,25,0,Yesler Way & 5th Ave
1370,62,50,0,Yesler Way & 3rd Ave
1471,739,317,0,S Jackson St & 5th Ave S
1480,759,345,0,S Jackson St & Maynard Ave S
1490,686,318,0,S Jackson St & 8th Ave S
1500,681,313,0,S Jackson St & 8th Ave S
1510,658,310,0,S Jackson St & Maynard Ave S
1530,738,328,0,S Jackson St & 5th Ave S
1540,222,79,0,James St & 5th Ave
1550,222,79,0,James St & 4th Ave
1551,217,132,0,Occidental Mall
1558,457,188,0,Columbia St & Alaskan Way
1559,469,189,0,Alaskan Way & Columbia St
1560,217,81,0,James St & 3rd Ave
1561,469,189,0,Alaskan Way S & S Jackson St
1562,457,188,0,Alaskan Way S & S Jackson St
1570,217,81,0,James St & 5th Ave
1610,1184,516,0,Prefontaine Pl S & Yesler Way
1619,113,57,0,Westlake And 7th
1630,113,57,0,Westlake Hub
1651,107,65,0,5th & Jackson
1652,110,67,0,5th & Jackson
1661,107,65,0,7th & Jackson
1662,110,67,0,7th & Jackson
1671,107,65,0,12th & Jackson
1672,110,67,0,12th & Jackson
1681,107,65,0,14th & Washington
1682,110,67,0,14th & Washington
1690,680,287,0,3rd Ave & Vine St
1710,192,77,0,Terrace St & 5th Ave
1889,20,40,0,Vashon Island Water Taxi & Colman Dock
1907,64,128,0,West Seattle Water Taxi & Colman Dock
1920,73,27,0,Lenora St & 4th Ave
2010,208,76,0,10th Ave W & W Armour St
2020,104,38,0,10th Ave W & W Bothwell St
2030,104,38,0,10th Ave W & W Halladay St
2050,104,38,0,10th Ave W & W Mcgraw St
2060,104,38,0,10th Ave W & W Crockett St
2070,104,38,0,10th Ave W & W Howe St
2080,104,38,0,10th Ave W & W Blaine St
2090,104,38,0,10th Ave W & W Galer St
2100,104,38,0,Olympic Way W & W Lee St
2110,104,38,0,Olympic Way W & 9th Ave W
2120,104,38,0,Olympic Way W & 7th Ave W
2130,104,38,0,Olympic Way W & 5th Ave W
2140,104,38,0,W Olympic Pl & 3rd Ave W
2150,104,38,0,W Roy St & 2nd Ave W
2180,476,212,0,Queen Anne Ave N & W Harrison St
2200,591,254,0,Queen Anne Ave N & W John St
2220,930,412,0,3rd Ave & Cedar St
2244,516,233,0,Denny Way & 2nd Ave N
2245,139,68,0,Denny Way & 5th Ave N
2249,137,132,72,Denny Way & 7th Ave N
2250,139,68,0,Denny Way & Dexter Ave
2255,139,68,0,Denny Way & Westlake Ave
2260,139,68,0,Denny Way & Fairview Ave
2262,139,68,0,Denny Way & Stewart St
2264,139,68,0,E Denny Way & Melrose Ave
2275,137,132,72,E Denny Way & Bellevue Ave E
2285,137,132,72,Denny Way & Fairview Ave N
2291,137,132,72,Denny Way & Westlake Ave
