stop_id,holiday_adjusted,other,weekday_only
100,254,166,0
101,254,166,0
102,362,326,0
103,254,166,0
104,254,166,0
105,254,166,0
106,254,166,0
107,357,217,0
108,254,166,0
109,503,285,0
111,504,285,0
120,502,349,72
121,254,166,0
122,254,166,0
123,357,217,0
124,254,166,0
125,254,166,0
126,254,166,0
127,254,166,0
128,254,166,0
129,254,166,0
250,36,0,0
260,15,0,0
280,99,27,0
300,242,94,0
320,234,85,0
340,242,94,0
360,234,85,0
361,238,94,0
375,234,85,0
390,238,94,0
400,1213,510,0
420,1882,803,0
430,1322,577,0
431,742,306,0
433,570,244,0
450,1387,608,0
468,1312,550,0
480,1279,540,0
481,453,188,0
490,859,362,0
500,1062,459,0
510,150,65,0
515,1298,549,0
531,732,322,0
538,1406,595,0
539,261,106,0
548,940,405,0
558,1667,701,0
570,940,405,0
575,1777,767,0
590,932,403,0
600,1956,831,0
605,1199,517,0
619,541,230,0
620,559,206,0
625,34,9,0
626,200,96,0
628,233,83,0
640,326,123,0
648,233,83,0
660,326,123,0
670,233,83,0
691,343,148,0
700,427,149,0
720,77,26,0
730,74,26,0
760,120,31,0
790,120,31,0
800,8,0,0
810,128,31,0
820,128,31,0
840,9,0,0
844,291,101,0
860,9,0,0
880,374,174,0
900,188,79,0
905,344,125,0
940,518,204,0
950,518,204,0
970,224,94,0
992,224,91,0
996,9,0,0
997,17,0,0
1010,13,0,0
1040,240,91,0
1050,135,32,0
1070,119,32,0
1073,26,0,0
1085,814,394,0
1110,497,241,0
1120,440,210,0
1180,497,241,0
1190,629,298,0
1195,497,241,0
1215,135,58,0
1230,135,58,0
1250,110,66,0
1260,118,66,0
1340,47,25,0
1350,47,25,0
1360,47,25,0
1370,62,50,0
1471,739,317,0
1480,759,345,0
1490,686,318,0
1500,681,313,0
1510,658,310,0
1530,738,328,0
1540,222,79,0
1550,222,79,0
1551,217,132,0
1558,457,188,0
1559,469,189,0
1560,217,81,0
1561,469,189,0
1562,457,188,0
1570,217,81,0
1610,1184,516,0
1619,113,57,0
1630,113,57,0
1651,107,65,0
1652,110,67,0
1661,107,65,0
1662,110,67,0
1671,107,65,0
1672,110,67,0
1681,107,65,0
1682,110,67,0
1690,680,287,0
1710,192,77,0
1889,20,40,0
1907,64,128,0
1920,73,27,0
2010,208,76,0
2020,104,38,0
2030,104,38,0
2050,104,38,0
2060,104,38,0
2070,104,38,0
2080,104,38,0
2090,104,38,0
2100,104,38,0
2110,104,38,0
2120,104,38,0
2130,104,38,0
2140,104,38,0
2150,104,38,0
2180,476,212,0
2200,591,254,0
2201,5,0,0
2202,5,0,0
2203,5,0,0
2204,5,0,0
2205,5,0,0
2206,5,0,0
2220,930,412,0
2244,516,233,0
2245,139,68,0
2249,137,132,72
2250,139,68,0
2255,139,68,0
2260,139,68,0
2262,139,68,0
2264,139,68,0
2275,137,132,72
2285,137,132,72
2291,137,132,72
2295,0,132,72
2297,0,132,72
2300,137,132,72
2320,104,38,0
2330,589,320,72
2360,589,320,72
2361,79,36,0
2370,513,285,72
2390,104,38,0
2400,104,38,0
2410,104,38,0
2420,104,38,0
2430,104,38,0
2440,104,38,0
2450,104,38,0
2460,104,38,0
2470,104,38,0
2480,104,38,0
2490,104,38,0
2500,104,38,0
2510,104,38,0
2520,104,38,0
2550,150,70,0
2570,75,35,0
2580,75,35,0
2590,75,35,0
2600,75,35,0
2610,75,35,0
2620,75,35,0
2630,75,35,0
2640,154,70,0
2660,154,70,0
2670,154,70,0
2672,670,290,0
2680,154,70,0
2690,155,71,0
2710,155,71,0
2720,155,71,0
2730,155,71,0
2740,155,71,0
2760,75,35,0
2770,75,35,0
2780,75,35,0
2790,75,35,0
2800,75,35,0
2810,75,35,0
2820,75,35,0
2830,75,35,0
2840,75,35,0
2850,218,134,0
2860,110,66,0
2870,110,66,0
2880,110,66,0
2890,110,66,0
2900,110,66,0
2910,110,66,0
2911,110,66,0
2920,110,66,0
2930,110,66,0
2940,111,66,0
2950,110,66,0
2960,110,66,0
2970,110,66,0
2980,110,66,0
2995,110,66,0
3000,110,66,0
3010,110,66,0
3030,110,66,0
3032,110,66,0
3033,110,66,0
3034,110,66,0
3035,110,66,0
3036,118,66,0
3037,156,99,0
3150,116,68,0
3151,108,68,0
3152,108,68,0
3153,108,68,0
3154,108,68,0
3155,108,68,0
3156,108,68,0
3160,108,68,0
3190,108,68,0
3200,108,68,0
3210,108,68,0
3220,108,68,0
3230,108,68,0
3240,108,68,0
3250,109,68,0
3271,108,68,0
3280,108,68,0
3293,108,68,0
3300,108,68,0
3310,108,68,0
3320,108,68,0
3330,108,68,0
3380,225,111,0
3400,225,111,0
3410,225,111,0
3420,225,111,0
3430,225,111,0
3450,225,111,0
3460,225,111,0
3470,374,175,0
3484,374,175,0
3500,374,175,0
3515,374,175,0
3530,374,175,0
3541,374,175,0
3550,374,175,0
3570,374,175,0
3580,374,175,0
3589,374,175,0
3600,780,349,0
3700,369,175,0
3710,369,175,0
3735,369,175,0
3760,369,175,0
3770,369,175,0
3778,369,175,0
3800,369,175,0
3810,512,251,0
3820,225,111,0
3830,225,111,0
3860,225,111,0
3870,225,111,0
3880,225,111,0
3881,225,111,0
3883,225,111,0
3910,195,77,0
3920,195,77,0
3930,116,42,0
3940,116,42,0
3950,116,42,0
3960,116,42,0
3980,116,42,0
3990,116,42,0
4000,116,42,0
4010,116,42,0
4020,116,42,0
4040,116,42,0
4050,116,42,0
4070,116,42,0
4080,116,42,0
4200,116,42,0
4220,116,42,0
4230,116,42,0
4245,116,42,0
4265,116,42,0
4280,116,42,0
4290,116,42,0
4300,116,42,0
4325,116,42,0
4340,116,42,0
4355,116,42,0
4370,116,42,0
4465,80,36,0
4490,80,36,0
4500,79,35,0
