trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
762849978,10:30:00,10:30:00,1907,1,,0,0,0.0,1
762849978,10:45:00,10:45:00,99997,3,,0,0,10920.0,1
762849948,11:00:00,11:00:00,99997,1,,0,0,0.0,1
762849948,11:15:00,11:15:00,1907,3,,0,0,10920.0,1
762849918,11:30:00,11:30:00,1907,1,,0,0,0.0,1
762849918,11:45:00,11:45:00,99997,3,,0,0,10920.0,1
762849578,12:00:00,12:00:00,99997,1,,0,0,0.0,1
762849578,12:15:00,12:15:00,1907,3,,0,0,10920.0,1
762849588,12:30:00,12:30:00,1907,1,,0,0,0.0,1
762849588,12:45:00,12:45:00,99997,3,,0,0,10920.0,1
762849528,13:00:00,13:00:00,99997,1,,0,0,0.0,1
762849528,13:15:00,13:15:00,1907,3,,0,0,10920.0,1
762849488,13:30:00,13:30:00,1907,1,,0,0,0.0,1
762849488,13:45:00,13:45:00,99997,3,,0,0,10920.0,1
762849338,14:00:00,14:00:00,99997,1,,0,0,0.0,1
762849338,14:15:00,14:15:00,1907,3,,0,0,10920.0,1
762849328,14:30:00,14:30:00,1907,1,,0,0,0.0,1
762849328,14:45:00,14:45:00,99997,3,,0,0,10920.0,1
762849318,15:00:00,15:00:00,99997,1,,0,0,0.0,1
762849318,15:15:00,15:15:00,1907,3,,0,0,10920.0,1
762848968,15:25:00,15:25:00,1907,1,,0,0,0.0,1
762848968,15:40:00,15:40:00,99997,3,,0,0,10920.0,1
762848958,15:45:00,15:45:00,99997,1,,0,0,0.0,1
762848958,16:00:00,16:00:00,1907,3,,0,0,10920.0,1
762849008,16:05:00,16:05:00,1907,1,,0,0,0.0,1
762849008,16:20:00,16:20:00,99997,3,,0,0,10920.0,1
762848978,16:25:00,16:25:00,99997,1,,0,0,0.0,1
762848978,16:40:00,16:40:00,1907,3,,0,0,10920.0,1
762849028,16:45:00,16:45:00,1907,1,,0,0,0.0,1
762849028,17:00:00,17:00:00,99997,3,,0,0,10920.0,1
762848898,17:05:00,17:05:00,99997,1,,0,0,0.0,1
762848898,17:20:00,17:20:00,1907,3,,0,0,10920.0,1
762848908,17:25:00,17:25:00,1907,1,,0,0,0.0,1
762848908,17:40:00,17:40:00,99997,3,,0,0,10920.0,1
762849058,17:45:00,17:45:00,99997,1,,0,0,0.0,1
762849058,18:00:00,18:00:00,1907,3,,0,0,10920.0,1
762848988,18:05:00,18:05:00,1907,1,,0,0,0.0,1
762848988,18:20:00,18:20:00,99997,3,,0,0,10920.0,1
762849038,18:25:00,18:25:00,99997,1,,0,0,0.0,1
762849038,18:40:00,18:40:00,1907,3,,0,0,10920.0,1
762848918,18:45:00,18:45:00,1907,1,,0,0,0.0,1
762848918,19:00:00,19:00:00,99997,3,,0,0,10920.0,1
762848938,19:05:00,19:05:00,99997,1,,0,0,0.0,1
762848938,19:20:00,19:20:00,1907,3,,0,0,10920.0,1
762848888,19:30:00,19:30:00,1907,1,,0,0,0.0,1
762848888,19:45:00,19:45:00,99997,3,,0,0,10920.0,1
762848878,20:00:00,20:00:00,99997,1,,0,0,0.0,1
762848878,20:15:00,20:15:00,1907,3,,0,0,10920.0,1
762848998,20:30:00,20:30:00,1907,1,,0,0,0.0,1
762848998,20:45:00,20:45:00,99997,3,,0,0,10920.0,1
762849048,21:00:00,21:00:00,99997,1,,0,0,0.0,1
762849048,21:15:00,21:15:00,1907,3,,0,0,10920.0,1
762849018,21:30:00,21:30:00,1907,1,,0,0,0.0,1
762849018,21:45:00,21:45:00,99997,3,,0,0,10920.0,1
762848928,22:00:00,22:00:00,99997,1,,0,0,0.0,1
762848928,22:15:00,22:15:00,1907,3,,0,0,10920.0,1
762848948,22:45:00,22:45:00,1907,1,,0,0,0.0,1
762848948,22:55:00,22:55:00,99997,3,,0,0,10920.0,1
762848868,23:00:00,23:00:00,99997,1,,0,0,0.0,1
762848868,23:10:00,23:10:00,1907,3,,0,0,10920.0,1
