trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
765895468,08:42:00,08:42:00,8402,1,,0,0,0.0,1
765895468,08:42:24,08:42:24,8429,8,,0,0,1589.5,0
765895468,08:42:41,08:42:41,8440,13,,0,0,2713.6,0
765895468,08:42:53,08:42:53,8450,16,,0,0,3460.0,0
765895468,08:43:00,08:43:00,8460,20,,0,0,3930.1,0
765895468,08:52:00,08:52:00,84264,228,,0,0,39453.7,1
765895468,09:06:00,09:06:00,64592,435,,0,0,79777.0,1
765895468,09:13:00,09:13:00,64476,574,,0,0,95781.0,1
765895468,09:24:00,09:24:00,64477,720,,0,0,113579.7,1
765895468,09:31:00,09:31:00,64478,911,,0,0,128203.5,1
765895468,09:35:28,09:35:28,64484,969,,0,0,135602.7,0
765895468,09:39:00,09:39:00,65140,1024,Mount Baker Transit Center,0,0,141452.0,1
765895348,10:12:00,10:12:00,8402,1,,0,0,0.0,1
765895348,10:12:29,10:12:29,8429,8,,0,0,1589.5,0
765895348,10:12:50,10:12:50,8440,13,,0,0,2713.6,0
765895348,10:13:03,10:13:03,8450,16,,0,0,3460.0,0
765895348,10:13:12,10:13:12,8460,20,,0,0,3930.1,0
765895348,10:24:00,10:24:00,84264,228,,0,0,39453.7,1
765895348,10:40:00,10:40:00,64592,435,,0,0,79777.0,1
765895348,10:47:00,10:47:00,64476,574,,0,0,95781.0,1
765895348,10:58:00,10:58:00,64477,720,,0,0,113579.7,1
765895348,11:05:00,11:05:00,64478,911,,0,0,128203.5,1
765895348,11:09:28,11:09:28,64484,969,,0,0,135602.7,0
765895348,11:13:00,11:13:00,65140,1024,Mount Baker Transit Center,0,0,141452.0,1
765895318,11:13:00,11:13:00,65140,1,,0,0,0.0,1
765895318,11:22:00,11:22:00,64592,121,,0,0,16597.3,1
765895318,11:41:00,11:41:00,84263,361,,0,0,59486.4,1
765895318,11:56:40,11:56:40,8608,577,,0,0,95895.6,0
765895318,11:56:56,11:56:56,8620,581,,0,0,96512.8,0
765895318,11:57:36,11:57:36,8641,590,,0,0,98068.3,0
765895318,11:58:07,11:58:07,8660,596,,0,0,99278.7,0
765895318,11:59:00,11:59:00,8402,607,,0,0,101314.0,1
765895178,12:11:00,12:11:00,8402,1,,0,0,0.0,1
765895178,12:11:29,12:11:29,8429,8,,0,0,1589.5,0
765895178,12:11:50,12:11:50,8440,13,,0,0,2713.6,0
765895178,12:12:03,12:12:03,8450,16,,0,0,3460.0,0
765895178,12:12:12,12:12:12,8460,20,,0,0,3930.1,0
765895178,12:23:00,12:23:00,84264,228,,0,0,39453.7,1
765895178,12:39:00,12:39:00,64592,435,,0,0,79777.0,1
765895178,12:46:00,12:46:00,64476,574,,0,0,95781.0,1
765895178,12:57:00,12:57:00,64477,720,,0,0,113579.7,1
765895178,13:04:00,13:04:00,64478,911,,0,0,128203.5,1
765895178,13:08:28,13:08:28,64484,969,,0,0,135602.7,0
765895178,13:12:00,13:12:00,65140,1024,Mount Baker Transit Center,0,0,141452.0,1
765895158,13:12:00,13:12:00,65140,1,,0,0,0.0,1
765895158,13:23:00,13:23:00,64592,121,,0,0,16597.3,1
765895158,13:44:00,13:44:00,84263,361,,0,0,59486.4,1
765895158,14:00:32,14:00:32,8608,577,,0,0,95895.6,0
765895158,14:00:49,14:00:49,8620,581,,0,0,96512.8,0
765895158,14:01:32,14:01:32,8641,590,,0,0,98068.3,0
765895158,14:02:05,14:02:05,8660,596,,0,0,99278.7,0
765895158,14:03:00,14:03:00,8402,607,,0,0,101314.0,1
765895098,14:14:00,14:14:00,8402,1,,0,0,0.0,1
765895098,14:14:34,14:14:34,8429,8,,0,0,1589.5,0
765895098,14:14:58,14:14:58,8440,13,,0,0,2713.6,0
765895098,14:15:14,14:15:14,8450,16,,0,0,3460.0,0
765895098,14:15:24,14:15:24,8460,20,,0,0,3930.1,0
765895098,14:28:00,14:28:00,84264,228,,0,0,39453.7,1
765895098,14:44:00,14:44:00,64592,435,,0,0,79777.0,1
765895098,14:51:00,14:51:00,64476,574,,0,0,95781.0,1
765895098,15:02:00,15:02:00,64477,720,,0,0,113579.7,1
765895098,15:09:00,15:09:00,64478,911,,0,0,128203.5,1
765895098,15:13:28,15:13:28,64484,969,,0,0,135602.7,0
765895098,15:17:00,15:17:00,65140,1024,Mount Baker Transit Center,0,0,141452.0,1
765895128,15:17:00,15:17:00,65140,1,,0,0,0.0,1
765895128,15:28:00,15:28:00,64592,121,,0,0,16597.3,1
765895128,15:49:00,15:49:00,84263,361,,0,0,59486.4,1
765895128,16:06:25,16:06:25,8608,577,,0,0,95895.6,0
765895128,16:06:42,16:06:42,8620,581,,0,0,96512.8,0
765895128,16:07:27,16:07:27,8641,590,,0,0,98068.3,0
765895128,16:08:02,16:08:02,8660,596,,0,0,99278.7,0
765895128,16:09:00,16:09:00,8402,607,,0,0,101314.0,1
765895068,16:42:00,16:42:00,64592,1,,0,0,0.0,1
765895068,16:49:00,16:49:00,64476,140,,0,0,16004.0,1
765895068,17:00:00,17:00:00,64477,286,,0,0,33802.7,1
765895068,17:07:00,17:07:00,64478,477,,0,0,48426.5,1
765895068,17:11:28,17:11:28,64484,535,,0,0,55825.7,0
765895118,17:15:00,17:15:00,65140,1,,0,0,0.0,1
765895068,17:15:00,17:15:00,65140,590,Mount Baker Transit Center,0,0,61676.0,1
765895118,17:25:00,17:25:00,64592,121,,0,0,16597.3,1
765895118,17:42:00,17:42:00,84263,361,,0,0,59486.4,1
765895118,17:58:32,17:58:32,8608,577,,0,0,95895.6,0
765895118,17:58:49,17:58:49,8620,581,,0,0,96512.8,0
765895118,17:59:32,17:59:32,8641,590,,0,0,98068.3,0
765895118,18:00:05,18:00:05,8660,596,,0,0,99278.7,0
765895118,18:01:00,18:01:00,8402,607,,0,0,101314.0,1
